Game,Score,TotalHits,Cursor,HUD,Audio,Haptic,TTS,Effects,Mascot
NumberSequence.tsx,5.8,15,0,4,7,4,0,0,0
LogicBoxPush.tsx,5.8,15,0,4,6,0,0,5,0
AirGuitarHero.tsx,5.8,15,0,5,7,3,0,0,0
ISSDocking.tsx,5.7,14,0,4,3,0,0,7,0
MoreOrLess.tsx,5.7,14,0,4,7,3,0,0,0
ColorMixing.tsx,5.7,14,0,4,7,3,0,0,0
BodyParts.tsx,5.7,14,0,5,5,4,0,0,0
DigitalJenga3D.tsx,5.7,14,0,4,0,4,0,6,0
MoneyMatch.tsx,5.6,13,0,4,5,4,0,0,0
KaleidoscopeHands.tsx,5.6,13,0,5,5,3,0,0,0
WeatherMatch.tsx,5.6,13,0,4,5,4,0,0,0
NumberBubblePop.tsx,5.6,13,0,4,5,4,0,0,0
VirtualBubbles3D.tsx,4.4,15,0,4,11,0,0,0,0
EndingSounds.tsx,4.3,14,0,7,7,0,0,0,0
LetterSoundMatch.tsx,4.3,14,0,7,7,0,0,0,0
VirtualArchery.tsx,4.3,14,0,7,7,0,0,0,0
StoryBuilder.tsx,4.1,12,0,4,8,0,0,0,0
ReadingAlong.tsx,4.0,11,0,4,7,0,0,0,0
SameAndDifferent.tsx,4.0,11,0,4,7,0,0,0,0
ShadowMatch.tsx,4.0,11,0,4,7,0,0,0,0
FingerPaintingMadness.tsx,3.8,9,0,4,5,0,0,0,0
Settings.tsx,3.5,6,0,0,3,0,0,3,0
Home.tsx,3.3,19,0,0,0,0,0,19,0
Games.tsx,3.3,19,0,0,0,0,0,19,0
Inventory.tsx,2.6,12,0,0,0,0,0,12,0
Progress.tsx,1.9,5,0,0,0,0,0,5,0
PhysicsPlayground.tsx,1.8,4,0,4,0,0,0,0,0
FeedTheMonster3D.tsx,1.8,4,0,4,0,0,0,0,0
ObstacleCourse3D.tsx,1.8,4,0,4,0,0,0,0,0
DressForWeather3D.tsx,1.8,4,0,4,0,0,0,0,0
MediaPipeTest.tsx,1.7,3,0,0,0,0,0,3,0
Pricing.tsx,0.0,0,0,0,0,0,0,0,0
KenneyShowcase.tsx,0.0,0,0,0,0,0,0,0,0
PrivacyPolicy.tsx,0.0,0,0,0,0,0,0,0,0
Dashboard.tsx,0.0,0,0,0,0,0,0,0,0
Support.tsx,0.0,0,0,0,0,0,0,0,0
EnemyGalleryDemo.tsx,0.0,0,0,0,0,0,0,0,0
TermsOfPlay.tsx,0.0,0,0,0,0,0,0,0,0
BetaThreeDHoldback.tsx,0.0,0,0,0,0,0,0,0,0
GameSelection.tsx,0.0,0,0,0,0,0,0,0,0
ISSDocking3D.tsx,0.0,0,0,0,0,0,0,0,0
CuttingPractice3D.tsx,0.0,0,0,0,0,0,0,0,0
CountingCollectathon3D.tsx,0.0,0,0,0,0,0,0,0,0
ShapePop3D.tsx,0.0,0,0,0,0,0,0,0,0
